timestamp,d_raw,fill_raw,status_raw,bin_id,temperature_C,humidity_pct,d_temp_corrected,outlier_flag,spike_flag,d_cleaned,collection_flag,fill_corrected,fill_class,hour,dayofweek,day,month,fill_lag_1,fill_lag_3,fill_lag_6,fill_lag_12,fill_lag_36,fill_roll_mean_6,fill_roll_std_6,fill_roll_mean_12,fill_roll_std_12,fill_roll_mean_36,fill_roll_std_36,is_synthetic
2025-12-01 00:00:00,122.29,22.45,Active,B001,30.0,60.0,125.52708823529412,False,False,125.52708823529412,False,18.972911764705884,Empty,0,0,1,12,,,,,,18.972911764705884,,18.972911764705884,,18.972911764705884,,False
2025-12-01 00:10:00,121.95,22.97,Active,B001,30.0,60.0,125.17808823529411,False,False,125.17808823529411,False,19.321911764705888,Empty,0,0,1,12,18.972911764705884,,,,,19.147411764705886,0.24678026663410774,19.147411764705886,0.24678026663410774,19.147411764705886,0.24678026663410774,False
2025-12-01 00:20:00,118.28,26.54,Active,B001,30.0,60.0,121.41094117647057,False,False,121.41094117647057,False,23.089058823529427,Empty,0,0,1,12,19.321911764705888,,,,,20.461294117647068,2.282391456808134,20.461294117647068,2.282391456808134,20.461294117647068,2.282391456808134,False
2025-12-01 00:30:00,121.2,23.73,Active,B001,30.0,60.0,124.40823529411765,False,False,124.40823529411765,False,20.091764705882355,Empty,0,0,1,12,23.089058823529427,18.972911764705884,,,,20.36891176470589,1.8727017482629111,20.36891176470589,1.8727017482629111,20.36891176470589,1.8727017482629111,False
2025-12-01 00:40:00,119.95,24.53,Active,B001,30.0,60.0,123.12514705882352,False,False,123.12514705882352,False,21.374852941176485,Empty,0,0,1,12,20.091764705882355,19.321911764705888,,,,20.570100000000007,1.6830455753080582,20.570100000000007,1.6830455753080582,20.570100000000007,1.6830455753080582,False
2025-12-01 00:50:00,115.55,29.1,Active,B001,30.0,60.0,118.60867647058822,False,False,118.60867647058822,False,25.891323529411782,Empty,0,0,1,12,21.374852941176485,23.089058823529427,,,,21.456970588235304,2.642981378767573,21.456970588235304,2.642981378767573,21.456970588235304,2.642981378767573,False
2025-12-01 01:00:00,117.25,26.99,Active,B001,30.0,60.0,120.35367647058823,False,False,120.35367647058823,False,24.146323529411774,Empty,1,0,1,12,25.891323529411782,20.091764705882355,18.972911764705884,,,22.31920588235295,2.51110038156534,21.84116386554623,2.618082656081828,21.84116386554623,2.618082656081828,False
2025-12-01 01:10:00,117.08,27.24,Active,B001,30.0,60.0,120.17917647058822,False,False,120.17917647058822,False,24.320823529411783,Empty,1,0,1,12,24.146323529411774,21.374852941176485,19.321911764705888,,,23.152357843137267,2.115938263289886,22.151121323529424,2.5775476663733103,22.151121323529424,2.5775476663733103,False
2025-12-01 01:20:00,112.95,31.87,Active,B001,30.0,60.0,115.93985294117647,False,False,115.93985294117647,False,28.56014705882353,Empty,1,0,1,12,24.320823529411783,25.891323529411782,23.089058823529427,,,24.06420588235295,3.0540907002232753,22.863235294117658,3.221372337969588,22.863235294117658,3.221372337969588,False
2025-12-01 01:30:00,115.48,28.94,Active,B001,30.0,60.0,118.53682352941176,False,False,118.53682352941176,False,25.96317647058824,Empty,1,0,1,12,28.56014705882353,24.146323529411774,20.091764705882355,,,25.042774509803934,2.3965630001578195,23.173229411764716,3.19142235246824,23.173229411764716,3.19142235246824,False
2025-12-01 01:40:00,112.29,31.64,Active,B001,30.0,60.0,115.26238235294117,False,False,115.26238235294117,False,29.237617647058826,Empty,1,0,1,12,25.96317647058824,24.320823529411783,21.374852941176485,,,26.353235294117656,2.123995601589343,23.72453743315509,3.5369485220446144,23.72453743315509,3.5369485220446144,False
2025-12-01 01:50:00,112.25,31.49,Active,B001,30.0,60.0,115.22132352941175,False,False,115.22132352941175,False,29.27867647058825,Empty,1,0,1,12,29.237617647058826,28.56014705882353,25.891323529411782,,,26.917794117647066,2.4078733432272066,24.187382352941185,3.7340911500513894,24.187382352941185,3.7340911500513894,False
2025-12-01 02:00:00,112.51,32.27,Active,B001,30.0,60.0,115.48820588235293,False,False,115.48820588235293,False,29.01179411764707,Empty,2,0,1,12,29.27867647058825,25.96317647058824,24.146323529411774,18.972911764705884,,27.72870588235295,2.0855497895201194,25.02395588235295,3.581058578946698,24.558490950226254,3.817311140040418,False
2025-12-01 02:10:00,111.35,33.0,Active,B001,30.0,60.0,114.29749999999999,False,False,114.29749999999999,False,30.202500000000015,Empty,2,0,1,12,29.01179411764707,29.237617647058826,24.320823529411783,19.321911764705888,,28.708985294117657,1.448302349447509,25.930671568627464,3.377764161452388,24.961634453781524,3.9656395802910707,False
2025-12-01 02:20:00,109.21,35.08,Active,B001,30.0,60.0,112.10085294117646,False,False,112.10085294117646,False,32.399147058823544,Empty,2,0,1,12,30.202500000000015,29.27867647058825,28.56014705882353,23.089058823529427,,29.348818627450992,2.079746106611139,26.70651225490197,3.7178374085766426,25.45746862745099,4.27677018891849,False
2025-12-01 02:30:00,107.85,36.32,Active,B001,30.0,60.0,110.70485294117645,False,False,110.70485294117645,False,33.795147058823545,Empty,2,0,1,12,32.399147058823544,29.01179411764707,25.96317647058824,20.091764705882355,,30.65414705882354,1.9854817633324868,27.84846078431374,3.6041739172410754,25.978573529411776,4.6277623246872475,False
2025-12-01 02:40:00,111.41,33.24,Active,B001,30.0,60.0,114.35908823529411,False,False,114.35908823529411,False,30.14091176470589,Empty,2,0,1,12,33.795147058823545,30.202500000000015,29.237617647058826,21.374852941176485,,30.804696078431387,1.8884678451873962,28.578965686274525,3.012622686030437,26.223416955017314,4.593124620287464,False
2025-12-01 02:50:00,106.86,37.59,Active,B001,30.0,60.0,109.68864705882352,False,False,109.68864705882352,False,34.81135294117648,Empty,2,0,1,12,30.14091176470589,32.399147058823544,29.27867647058825,25.891323529411782,,31.72680882352942,2.3001898137223704,29.322301470588247,3.3686185920406415,26.700524509803934,4.894198100531599,False
2025-12-01 03:00:00,108.85,35.54,Active,B001,30.0,60.0,111.73132352941175,False,False,111.73132352941175,False,32.76867647058825,Empty,3,0,1,12,34.81135294117648,33.795147058823545,29.01179411764707,24.146323529411774,,32.35295588235295,1.8876540149588328,30.04083088235295,3.070606132216909,27.019900928792584,4.955851868578405,False
2025-12-01 03:10:00,108.05,36.33,Active,B001,30.0,60.0,110.91014705882351,False,False,110.91014705882351,False,33.58985294117649,Empty,3,0,1,12,32.76867647058825,30.14091176470589,30.202500000000015,24.320823529411783,,32.91751470588236,1.600580034973659,30.81325000000001,2.635980758446879,27.348398529411774,5.042422534707703,False
2025-12-01 03:20:00,106.36,38.06,Active,B001,30.0,60.0,109.17541176470587,False,False,109.17541176470587,False,35.32458823529413,Empty,3,0,1,12,33.58985294117649,34.81135294117648,32.399147058823544,28.56014705882353,,33.40508823529413,1.8389242790697276,31.37695343137256,2.8267376193497555,27.728217086834743,5.2138496943642165,False
2025-12-01 03:30:00,108.11,36.73,Active,B001,30.0,60.0,110.97173529411764,False,False,110.97173529411764,False,33.528264705882364,Empty,3,0,1,12,35.32458823529413,32.76867647058825,33.795147058823545,25.96317647058824,,33.36060784313727,1.830812281263999,32.00737745098041,2.30503100235215,27.99185561497327,5.236301898760583,False
2025-12-01 03:40:00,107.59,36.98,Active,B001,30.0,60.0,110.43797058823529,False,False,110.43797058823529,False,34.06202941176471,Empty,3,0,1,12,33.528264705882364,33.58985294117649,30.14091176470589,29.237617647058826,,34.0141274509804,0.929773107654993,32.4094117647059,2.1961804317213303,28.25577621483377,5.270160317933172,False
2025-12-01 03:50:00,103.71,41.3,Active,B001,30.0,60.0,106.45526470588234,False,False,106.45526470588234,False,38.04473529411766,Empty,3,0,1,12,34.06202941176471,35.32458823529413,34.81135294117648,29.27867647058825,,34.553024509803926,1.9073626305179274,33.13991666666668,2.497398869246959,28.663649509803932,5.528078681680986,False
2025-12-01 04:00:00,105.06,38.69,Active,B001,30.0,60.0,107.841,False,False,107.841,False,36.659000000000006,Empty,4,0,1,12,38.04473529411766,33.528264705882364,32.76867647058825,29.01179411764707,,35.201411764705895,1.8395086119841475,33.77718382352942,2.3174486521702953,28.983463529411775,5.642992129743458,False
2025-12-01 04:10:00,107.37,36.84,Active,B001,30.0,60.0,110.21214705882352,False,False,110.21214705882352,False,34.28785294117648,Empty,4,0,1,12,36.659000000000006,34.06202941176471,33.58985294117649,30.202500000000015,,35.317745098039225,1.7363886018691508,34.11762990196079,2.026367707177036,29.187478506787343,5.6259933038642265,False
2025-12-01 04:20:00,109.27,35.54,Active,B001,30.0,60.0,112.16244117647058,False,False,112.16244117647058,False,32.33755882352942,Empty,4,0,1,12,34.28785294117648,38.04473529411766,35.32458823529413,32.399147058823544,,34.81990686274511,2.1198883383154925,34.112497549019615,2.0311882013231766,29.304148148148155,5.549949769832439,False
