timestamp,predicted_fill,ci_lower,ci_upper,fill_class
2025-12-04 11:20:00,24.93,14.49,35.38,Empty
2025-12-04 11:30:00,24.91,10.54,39.28,Empty
2025-12-04 11:40:00,24.89,7.75,42.03,Empty
2025-12-04 11:50:00,24.87,5.59,44.15,Empty
2025-12-04 12:00:00,24.85,3.83,45.86,Empty
2025-12-04 12:10:00,24.83,2.38,47.28,Empty
2025-12-04 12:20:00,24.81,1.15,48.48,Empty
2025-12-04 12:30:00,24.8,0.1,49.49,Empty
2025-12-04 12:40:00,24.78,0.0,50.37,Empty
2025-12-04 12:50:00,24.77,0.0,51.12,Empty
2025-12-04 13:00:00,24.75,0.0,51.78,Empty
2025-12-04 13:10:00,24.74,0.0,52.35,Empty
2025-12-04 13:20:00,24.73,0.0,52.85,Empty
2025-12-04 13:30:00,24.72,0.0,53.29,Empty
2025-12-04 13:40:00,24.71,0.0,53.68,Empty
2025-12-04 13:50:00,24.7,0.0,54.02,Empty
2025-12-04 14:00:00,24.69,0.0,54.32,Empty
2025-12-04 14:10:00,24.68,0.0,54.58,Empty
2025-12-04 14:20:00,24.67,0.0,54.82,Empty
2025-12-04 14:30:00,24.66,0.0,55.03,Empty
2025-12-04 14:40:00,24.65,0.0,55.21,Empty
2025-12-04 14:50:00,24.64,0.0,55.37,Empty
2025-12-04 15:00:00,24.64,0.0,55.52,Empty
2025-12-04 15:10:00,24.63,0.0,55.65,Empty
2025-12-04 15:20:00,24.62,0.0,55.76,Empty
2025-12-04 15:30:00,24.62,0.0,55.86,Empty
2025-12-04 15:40:00,24.61,0.0,55.95,Empty
2025-12-04 15:50:00,24.61,0.0,56.03,Empty
2025-12-04 16:00:00,24.6,0.0,56.11,Empty
2025-12-04 16:10:00,24.6,0.0,56.17,Empty
2025-12-04 16:20:00,24.59,0.0,56.22,Empty
2025-12-04 16:30:00,24.59,0.0,56.27,Empty
2025-12-04 16:40:00,24.58,0.0,56.32,Empty
2025-12-04 16:50:00,24.58,0.0,56.36,Empty
2025-12-04 17:00:00,24.58,0.0,56.39,Empty
2025-12-04 17:10:00,24.57,0.0,56.42,Empty
