timestamp,predicted_fill,ci_lower,ci_upper,fill_class
2025-12-04 11:20:00,48.97,40.01,57.93,Medium
2025-12-04 11:30:00,48.97,36.82,61.12,Medium
2025-12-04 11:40:00,48.97,34.32,63.62,Medium
2025-12-04 11:50:00,48.97,32.18,65.76,Medium
2025-12-04 12:00:00,48.97,30.28,67.65,Medium
2025-12-04 12:10:00,48.97,28.56,69.37,Medium
2025-12-04 12:20:00,48.97,26.98,70.96,Medium
2025-12-04 12:30:00,48.97,25.5,72.44,Medium
2025-12-04 12:40:00,48.97,24.11,73.83,Medium
2025-12-04 12:50:00,48.97,22.79,75.14,Medium
2025-12-04 13:00:00,48.97,21.54,76.4,Medium
2025-12-04 13:10:00,48.97,20.34,77.6,Medium
2025-12-04 13:20:00,48.97,19.19,78.75,Medium
2025-12-04 13:30:00,48.97,18.08,79.85,Medium
2025-12-04 13:40:00,48.97,17.01,80.92,Medium
2025-12-04 13:50:00,48.97,15.98,81.96,Medium
2025-12-04 14:00:00,48.97,14.98,82.96,Medium
2025-12-04 14:10:00,48.97,14.0,83.94,Medium
2025-12-04 14:20:00,48.97,13.05,84.88,Medium
2025-12-04 14:30:00,48.97,12.13,85.81,Medium
2025-12-04 14:40:00,48.97,11.23,86.71,Medium
2025-12-04 14:50:00,48.97,10.35,87.59,Medium
2025-12-04 15:00:00,48.97,9.49,88.45,Medium
2025-12-04 15:10:00,48.97,8.65,89.29,Medium
2025-12-04 15:20:00,48.97,7.82,90.11,Medium
2025-12-04 15:30:00,48.97,7.01,90.92,Medium
2025-12-04 15:40:00,48.97,6.22,91.72,Medium
2025-12-04 15:50:00,48.97,5.44,92.5,Medium
2025-12-04 16:00:00,48.97,4.68,93.26,Medium
2025-12-04 16:10:00,48.97,3.92,94.01,Medium
2025-12-04 16:20:00,48.97,3.18,94.75,Medium
2025-12-04 16:30:00,48.97,2.46,95.48,Medium
2025-12-04 16:40:00,48.97,1.74,96.2,Medium
2025-12-04 16:50:00,48.97,1.03,96.9,Medium
2025-12-04 17:00:00,48.97,0.34,97.6,Medium
2025-12-04 17:10:00,48.97,0.0,98.29,Medium
