timestamp,predicted_fill,ci_lower,ci_upper,fill_class
2025-12-04 11:20:00,15.92,2.17,29.68,Empty
2025-12-04 11:30:00,15.92,0.0,35.37,Empty
2025-12-04 11:40:00,15.92,0.0,39.75,Empty
2025-12-04 11:50:00,15.92,0.0,43.43,Empty
2025-12-04 12:00:00,15.92,0.0,46.68,Empty
2025-12-04 12:10:00,15.92,0.0,49.61,Empty
2025-12-04 12:20:00,15.92,0.0,52.31,Empty
2025-12-04 12:30:00,15.92,0.0,54.82,Empty
2025-12-04 12:40:00,15.92,0.0,57.18,Empty
2025-12-04 12:50:00,15.92,0.0,59.42,Empty
2025-12-04 13:00:00,15.92,0.0,61.54,Empty
2025-12-04 13:10:00,15.92,0.0,63.57,Empty
2025-12-04 13:20:00,15.92,0.0,65.51,Empty
2025-12-04 13:30:00,15.92,0.0,67.38,Empty
2025-12-04 13:40:00,15.92,0.0,69.19,Empty
2025-12-04 13:50:00,15.92,0.0,70.94,Empty
2025-12-04 14:00:00,15.92,0.0,72.63,Empty
2025-12-04 14:10:00,15.92,0.0,74.27,Empty
2025-12-04 14:20:00,15.92,0.0,75.87,Empty
2025-12-04 14:30:00,15.92,0.0,77.43,Empty
2025-12-04 14:40:00,15.92,0.0,78.95,Empty
2025-12-04 14:50:00,15.92,0.0,80.43,Empty
2025-12-04 15:00:00,15.92,0.0,81.88,Empty
2025-12-04 15:10:00,15.92,0.0,83.3,Empty
2025-12-04 15:20:00,15.92,0.0,84.69,Empty
2025-12-04 15:30:00,15.92,0.0,86.05,Empty
2025-12-04 15:40:00,15.92,0.0,87.39,Empty
2025-12-04 15:50:00,15.92,0.0,88.7,Empty
2025-12-04 16:00:00,15.92,0.0,89.99,Empty
2025-12-04 16:10:00,15.92,0.0,91.25,Empty
2025-12-04 16:20:00,15.92,0.0,92.5,Empty
2025-12-04 16:30:00,15.92,0.0,93.72,Empty
2025-12-04 16:40:00,15.92,0.0,94.93,Empty
2025-12-04 16:50:00,15.92,0.0,96.12,Empty
2025-12-04 17:00:00,15.92,0.0,97.29,Empty
2025-12-04 17:10:00,15.92,0.0,98.44,Empty
