timestamp,predicted_fill,ci_lower,ci_upper,fill_class
2025-12-04 11:20:00,1.36,0.0,13.98,Empty
2025-12-04 11:30:00,2.65,0.0,20.05,Empty
2025-12-04 11:40:00,3.88,0.0,24.65,Empty
2025-12-04 11:50:00,5.04,0.0,28.44,Empty
2025-12-04 12:00:00,6.14,0.0,31.67,Empty
2025-12-04 12:10:00,7.19,0.0,34.49,Empty
2025-12-04 12:20:00,8.18,0.0,36.98,Empty
2025-12-04 12:30:00,9.12,0.0,39.21,Empty
2025-12-04 12:40:00,10.01,0.0,41.22,Empty
2025-12-04 12:50:00,10.86,0.0,43.03,Empty
2025-12-04 13:00:00,11.66,0.0,44.68,Empty
2025-12-04 13:10:00,12.42,0.0,46.18,Empty
2025-12-04 13:20:00,13.14,0.0,47.56,Empty
2025-12-04 13:30:00,13.82,0.0,48.82,Empty
2025-12-04 13:40:00,14.47,0.0,49.98,Empty
2025-12-04 13:50:00,15.09,0.0,51.05,Empty
2025-12-04 14:00:00,15.67,0.0,52.04,Empty
2025-12-04 14:10:00,16.23,0.0,52.96,Empty
2025-12-04 14:20:00,16.75,0.0,53.8,Empty
2025-12-04 14:30:00,17.25,0.0,54.58,Empty
2025-12-04 14:40:00,17.72,0.0,55.31,Empty
2025-12-04 14:50:00,18.17,0.0,55.99,Empty
2025-12-04 15:00:00,18.59,0.0,56.62,Empty
2025-12-04 15:10:00,19.0,0.0,57.2,Empty
2025-12-04 15:20:00,19.38,0.0,57.75,Empty
2025-12-04 15:30:00,19.74,0.0,58.26,Empty
2025-12-04 15:40:00,20.08,0.0,58.73,Empty
2025-12-04 15:50:00,20.41,0.0,59.18,Empty
2025-12-04 16:00:00,20.72,0.0,59.59,Empty
2025-12-04 16:10:00,21.01,0.0,59.98,Empty
2025-12-04 16:20:00,21.29,0.0,60.34,Empty
2025-12-04 16:30:00,21.55,0.0,60.68,Empty
2025-12-04 16:40:00,21.8,0.0,61.0,Empty
2025-12-04 16:50:00,22.04,0.0,61.3,Empty
2025-12-04 17:00:00,22.26,0.0,61.58,Empty
2025-12-04 17:10:00,22.48,0.0,61.84,Empty
